,episodes,comment_id,oper_name,vip_degree,content,time_point,up_count
86,第一期下,6717778438632537848,,0, 大姐来啦,11,14
87,第一期下,6717781818016805601,,0, 来了第二季,11,15
88,第一期下,6717783744587473254,Mr. Tang,5,加油加油,13,15
89,第一期下,6717785977784562512,,0,我是赵薇粉,14,22
90,第一期下,6717793575549210456,啵啵赞,0,陈凯歌，陈凯歌，陈凯歌,14,14
91,第一期下,6717799580534245947,  ゅ≈Monica≈ゅ,0,女神赵薇,12,14
92,第一期下,6717802515515511156,黎初,0,！！！！！！,13,6
93,第一期下,6717805708709491794,-,0,这期全没有我儿嘛,12,4
94,第一期下,6717814184391227073,北斗,0,爽啊 还有,13,6
95,第一期下,6717815235642848230,,0,来啦来啦,12,3
96,第一期下,6717811897783222856,,0,看到张大大 导演一副很那啥的表情,14,16
97,第一期下,6717820102932679966,,0, 终于播了,14,4
98,第一期下,6717820607280955748,,0,太舒服了连着看,14,0
99,第一期下,6717950431722982927,行云望海,0,我的女神赵薇,12,0
100,第一期下,6717954565381228581,,0,太棒了，还有下！,14,3
101,第一期下,6717921420321991829,,3,来看孟子义,12,2
102,第一期下,6717960301792698617,君竹,0,孙千千千千千千千千千千千千千，宝贝加油,11,9
103,第一期下,6717897345384773804,21,0, 人呢,11,2
104,第一期下,6717972470491018084,,0,这时长，良心啊，对演员太好了,11,1
105,第一期下,6718040471350221617,代,0,太好了吧！竟然还有下,12,0
106,第一期下,6718059757769864002,Nuyoah💨,0, 张大大这集老惨了,13,4
107,第一期下,6718136512212832967,,0, 为张大大被怼而来,10,68
108,第一期下,6718154094525525980,SiYai,0,  丁程鑫,10,7
109,第一期下,6718166041300021139,Timor,0,来了来了张大大,11,2
110,第一期下,6718764105227337098,,0,在,10,0
111,第一期下,6718781932240882418,,0,个人期待黄梦莹、张月,10,0
112,第一期下,6718554980884092698,,0, 好,10,1
113,第一期下,6718942730413177510,小哥哥,0,jz,11,0
114,第一期下,6719053092232864103,,0, 这,13,0
115,第一期下,6718554486039840528,啾咪~,0, 为了口水戏来的,14,0
116,第一期下,6719085658171275294,,0, 老戏骨？笑了,10,0
117,第一期下,6718381325768172018,ACI,0,爆米花 : 来啦来啦,13,0
118,第一期下,6719304925656370096,Angel.,0, 我就是专门来看说张大大的弹幕哈哈,13,1
119,第一期下,6717761764533140722,,4,就喜欢不准时，来了来了,4,43
120,第一期下,6717762194609043435,,1,第一,3,1
121,第一期下,6717765447719616437,,5,居然哭了,0,27
122,第一期下,6717765460029536166,,6,来了来了,0,28
123,第一期下,6717766842430554092,,4,为赵薇而来,1,4
124,第一期下,6717766885111772199,,4,我的女神赵薇,3,14
125,第一期下,6717766769475823527,,0, 张大大连点反应都没有,0,141
126,第一期下,6717768577640287595,小鸟的翅膀,0,爆米花：丁儿是第几个,0,18
127,第一期下,6717771000503793165,,5,比邻星：电影真的很触动人心！,0,12
128,第一期下,6717774446318786707,,0, 一个小时？,4,21
129,第一期下,6717774964315374715,,6,这是演员,0,7
130,第一期下,6717782448795004900,,0,哈哈哈哈哈哈我爱导演,0,12
131,第一期下,6717782823403713319,Shào,0,有种偷东西被抓住的感觉,0,7
132,第一期下,6717784008270479399,,5,看完第一集集合,2,27
133,第一期下,6717793604414675337,AOSJIN,0,继续,1,2
134,第一期下,6717797236359021504,cc,0,张怀疑人生,2,18
135,第一期下,6717805728837940818,,0,直接更新下？？太爽了吧,4,22
136,第一期下,6717815278262534950,半熟芝士,0, 2222,2,22
137,第一期下,6717788670520709073,,0,大大还是小小？,3,22
138,第一期下,6717948353059463364,,0, 老丁,2,1
139,第一期下,6717874295977213681,黄玲,0,  太快乐了吧，看到凌晨四点,2,4
