1,558.78,123.47,43.58,37.29,0.76641
2,543.07,86.583,35.97,30.887,0.57193
3,506.47,68.234,26.15,23.956,0.55958
4,735.43,114.66,47.16,40.18,0.43059
5,588.09,369.67,144.69,171.33,0.41521
6,552.57,63.836,27.83,28.195,0.25997
7,546.1,41.062,25.02,26.191,0.18534
8,894.19,266.38,58,102.71,0.12533
9,292.16,284.98,27.67,44.19,0.068085
10,547.78,52.966,31.7,30.013,0.066968
11,545.83,77.122,34.95,29.088,0.060839
12,851.63,96.298,34.83,30.442,0.056306
13,95.192,220.19,90.678,71.55,0.016589
14,352.63,240.54,27.86,57.13,0.0068732
